initialization 19.0548920631
rhs 116 47.463313818
update 116 3.219851017
reconstruction 117 3.56819200516
boundary 117 6.75453591347
fluxes 117 22.2872540951
rhs 117 47.4392960072
update 117 3.22154808044
reconstruction 118 3.56475114822
boundary 118 6.75154590607
fluxes 118 22.3025081158
rhs 118 47.4646070004
update 118 3.22221207619
reconstruction 119 3.56732606888
boundary 119 6.75510907173
fluxes 119 22.2477679253
rhs 119 47.4604299068
update 119 3.21875405312
reconstruction 120 3.5643081665
boundary 120 6.75438499451
fluxes 120 22.2881579399
rhs 120 47.4365990162
update 120 3.22208094597
reconstruction 121 3.57003498077
boundary 121 6.75157308578
fluxes 121 22.2946970463
rhs 121 47.4655277729
update 121 3.22151112556
reconstruction 122 3.56312894821
boundary 122 6.75285291672
fluxes 122 22.2474911213
rhs 122 47.4572319984
update 122 3.22527694702
reconstruction 123 3.56843400002
boundary 123 6.75367498398
fluxes 123 22.2886350155
rhs 123 47.4388840199
update 123 3.22218894958
reconstruction 124 3.56424403191
boundary 124 6.75249099731
fluxes 124 22.2951800823
rhs 124 47.4687428474
update 124 3.22026085854
reconstruction 125 3.56865382195
boundary 125 6.75425291061
fluxes 125 22.2494421005
rhs 125 47.457805872
update 125 3.22121691704
reconstruction 126 3.56429004669
boundary 126 6.75504493713
fluxes 126 22.2867860794
rhs 126 47.4199948311
update 126 3.2229309082
reconstruction 127 3.56738495827
boundary 127 6.75283789635
fluxes 127 22.2935950756
rhs 127 47.4646379948
update 127 3.22195601463
reconstruction 128 3.56533813477
boundary 128 6.75213003159
fluxes 128 22.2488920689
rhs 128 47.4598648548
update 128 3.21952199936
reconstruction 129 3.56766414642
boundary 129 6.75403189659
fluxes 129 22.2851920128
rhs 129 47.4368290901
update 129 3.22058010101
reconstruction 130 3.56440281868
boundary 130 6.75423502922
fluxes 130 22.2992408276
rhs 130 47.46905303
update 130 3.22285914421
reconstruction 131 3.56831717491
boundary 131 6.75294089317
fluxes 131 22.249037981
rhs 131 47.4589860439
update 131 3.22088003159
reconstruction 132 3.56313490868
boundary 132 6.7543399334
fluxes 132 22.2875809669
rhs 132 47.4365828037
update 132 3.22211003304
reconstruction 133 3.56954789162
boundary 133 6.75294685364
fluxes 133 22.2946491241
rhs 133 47.4649620056
update 133 3.22205615044
reconstruction 134 3.56524419785
boundary 134 6.75258994102
fluxes 134 22.2439460754
rhs 134 47.4597229958
update 134 3.22128796577
reconstruction 135 3.56712388992
boundary 135 6.75446200371
fluxes 135 22.2820291519
rhs 135 47.4417960644
update 135 3.22069501877
reconstruction 136 3.56421589851
boundary 136 6.75279784203
fluxes 136 22.296407938
rhs 136 47.4689669609
update 136 3.22385001183
reconstruction 137 3.56828308105
boundary 137 6.75434708595
fluxes 137 22.2533228397
rhs 137 47.4572920799
update 137 3.21987891197
reconstruction 138 3.56533384323
boundary 138 6.76311397552
fluxes 138 22.2852368355
rhs 138 47.4364378452
update 138 3.22280192375
reconstruction 139 3.56869792938
boundary 139 6.75178217888
fluxes 139 22.2961111069
rhs 139 47.4616069794
update 139 3.22201704979
reconstruction 140 3.56338906288
boundary 140 6.75276398659
fluxes 140 22.2462339401
rhs 140 47.4560880661
update 140 3.2196161747
reconstruction 141 3.56842684746
boundary 141 6.75333094597
fluxes 141 22.285020113
